FL,R,Open,Scott,Toss-up,4
MI,R,Open,Snyder,Toss-up,4
NV,R,Open,Sandoval,Toss-up,4
IL,R,Incumbent,Rauner,Tilt Democratic,3.25
CO,D,Open,Hickenlooper,Lean Democratic,2.5
CT,D,Open,Malloy,Lean Democratic,2.5
ME,R,Open,LePage,Lean Democratic,2.5
NM,R,Open,Martinez,Lean Democratic,2.5
PA,D,Incumbent,Wolf,Lean Democratic,2.5
MN,D,Open,Dayton,Likely Democratic,1.75
OR,D,Incumbent,Brown,Likely Democratic,1.75
CA,D,Open,Brown,Solid Democratic,1
HI,D,Incumbent,Ige,Solid Democratic,1
NY,D,Incumbent,Cuomo,Solid Democratic,1
RI,D,Incumbent,Raimondo,Solid Democratic,1
OH,R,Open,Kasich,Tilt Republican,4.75
IA,R,Incumbent,Reynolds,Lean Republican,5.5
MD,R,Incumbent,Hogan,Lean Republican,5.5
NH,R,Incumbent,Sununu,Lean Republican,5.5
AZ,R,Incumbent,Ducey,Likely Republican,6.25
GA,R,Open,Deal,Likely Republican,6.25
KS,R,Open,Colyer,Likely Republican,6.25
OK,R,Open,Fallin,Likely Republican,6.25
TN,R,Open,Haslam,Likely Republican,6.25
WI,R,Incumbent,Walker,Likely Republican,6.25
AL,R,Incumbent,Ivey,Solid Republican,7
AR,R,Incumbent,Hutchinson,Solid Republican,7
ID,R,Open,Otter,Solid Republican,7
MA,R,Incumbent,Baker,Solid Republican,7
NE,R,Incumbent,Ricketts,Solid Republican,7
SC,R,Incumbent,McMaster,Solid Republican,7
SD,R,Open,Daugaard,Solid Republican,7
TX,R,Incumbent,Abbott,Solid Republican,7
VT,R,Incumbent,Scott,Solid Republican,7
WY,R,Open,Mead,Solid Republican,7
AK,I,Incumbent,Walker,Lean Independent,2.5
