CA,39,R,Open,Royce,Toss-up,4
MN,1,D,Open,Walz,Toss-up,4
NJ,11,R,Open,Frelinghuysen,Toss-up,4
TX,23,R,Incumbent,Hurd,Toss-up,4
VA,10,R,Incumbent,Comstock,Toss-up,4
WA,8,R,Open,Reichert,Toss-up,4
AZ,1,D,Incumbent,O'Halleran,Tilt Democratic,3.25
NV,3,D,Open,Rosen,Tilt Democratic,3.25
NH,1,D,Open,Shea-Porter,Tilt Democratic,3.25
NJ,5,D,Incumbent,Gottheimer,Tilt Democratic,3.25
PA,6,R,Incumbent,Costello,Tilt Democratic,3.25
FL,27,R,Open,Ros-Lehtinen,Lean Democratic,2.5
MN,7,D,Incumbent,Peterson,Lean Democratic,2.5
CA,7,D,Incumbent,Bera,Likely Democratic,1.75
FL,13,D,Incumbent,Crist,Likely Democratic,1.75
NV,4,D,Open,Kihuen,Likely Democratic,1.75
PA,5,R,Open,Meehan,Likely Democratic,1.75
CA,10,R,Incumbent,Denham,Tilt Republican,4.75
CO,6,R,Incumbent,Coffman,Tilt Republican,4.75
FL,26,R,Incumbent,Curbelo,Tilt Republican,4.75
IA,1,R,Incumbent,Blum,Tilt Republican,4.75
MI,11,R,Open,Trott,Tilt Republican,4.75
NE,2,R,Incumbent,Bacon,Tilt Republican,4.75
NY,19,R,Incumbent,Faso,Tilt Republican,4.75
PA,1,R,Incumbent,Fitzpatrick,Tilt Republican,4.75
TX,7,R,Incumbent,Culberson,Tilt Republican,4.75
CA,45,R,Incumbent,Walters,Lean Republican,5.5
IL,12,R,Incumbent,Bost,Lean Republican,5.5
KS,2,R,Open,Jenkins,Lean Republican,5.5
KY,6,R,Incumbent,Barr,Lean Republican,5.5
MI,8,R,Incumbent,Bishop,Lean Republican,5.5
MN,3,R,Incumbent,Paulsen,Lean Republican,5.5
NJ,7,R,Incumbent,Lance,Lean Republican,5.5
UT,4,R,Incumbent,Love,Lean Republican,5.5
CA,21,R,Incumbent,Valadao,Likely Republican,6.25
GA,6,R,Incumbent,Handel,Likely Republican,6.25
IL,13,R,Incumbent,R. Davis,Likely Republican,6.25
IA,3,R,Incumbent,Young,Likely Republican,6.25
ME,2,R,Incumbent,Poliquin,Likely Republican,6.25
MI,6,R,Incumbent,Upton,Likely Republican,6.25
MT,0,R,Incumbent,Gianforte,Likely Republican,6.25
NM,2,R,Open,Pearce,Likely Republican,6.25
NY,11,R,Incumbent,Donovan,Likely Republican,6.25
NC,13,R,Incumbent,Budd,Likely Republican,6.25
OH,12,R,Special,None,Likely Republican,6.25
PA,10,R,Incumbent,Perry,Likely Republican,6.25
TX,32,R,Incumbent,Sessions,Likely Republican,6.25
VA,2,R,Incumbent,Taylor,Likely Republican,6.25
WA,5,R,Incumbent,McMorris Rodgers,Likely Republican,6.25
