AL,Kay Ivey,R,Yes,Safe R,7
AK,Bill Walker,I,Yes,Toss-up,4
AZ,Doug Ducey,R,Yes,Likely R,6
AR,Asa Hutchinson,R,Yes,Safe R,7
CA,Jerry Brown,D,No,Safe D,1
CO,John Hickenlooper,D,No,Toss-up,4
CT,Dan Malloy,D,No,Toss-up,4
FL,Rick Scott,R,No,Toss-up,4
GA,Nathan Deal,R,No,Likely R,6
HI,David Ige,D,Yes,Safe D,1
ID,Butch Otter,R,No,Safe R,7
IL,Bruce Rauner,R,Yes,Toss-up,4
IA,Kim Reynolds,R,Yes,Leans R,5
KS,Sam Brownback,R,No,Leans R,5
ME,Paul LePage,R,No,Leans D (flip),3
MD,Larry Hogan,R,Yes,Leans R,5
MA,Charlie Baker,R,Yes,Likely R,6
MI,Rick Snyder,R,No,Toss-up,4
MN,Mark Dayton,D,No,Leans D,3
NE,Pete Ricketts,R,Yes,Safe R,7
NV,Brian Sandoval,R,No,Toss-up,4
NH,Chris Sununu,R,Yes,Leans R,5
NM,Susana Martinez,R,No,Leans D (flip),3
NY,Andrew Cuomo,D,Yes,Safe D,1
OH,John Kasich,R,No,Leans R,5
OK,Mary Fallin,R,No,Likely R,6
OR,Kate Brown,D,Yes,Likely D,2
PA,Tom Wolf,D,Yes,Leans D,3
RI,Gina Raimondo,D,Yes,Leans D,3
SC,Henry McMaster,R,Yes,Safe R,7
SD,Dennis Daugaard,R,No,Safe R,7
TN,Bill Haslam,R,No,Likely R,6
TX,Greg Abbott,R,Yes,Safe R,7
VT,Phil Scott,R,Yes,Likely R,6
WI,Scott Walker,R,Yes,Leans R,5
WY,Matt Mead,R,No,Safe R,7
