Alabama,Kay Ivey,R,Yes,Safe R,7
Alaska,Bill Walker,I,Yes,Toss-up,4
Arizona,Doug Ducey,R,Yes,Likely R,6
Arkansas,Asa Hutchinson,R,Yes,Safe R,7
California,Jerry Brown,D,No,Safe D,1
Colorado,John Hickenlooper,D,No,Toss-up,4
Connecticut,Dan Malloy,D,No,Toss-up,4
Florida,Rick Scott,R,No,Toss-up,4
Georgia,Nathan Deal,R,No,Likely R,6
Hawaii,David Ige,D,Yes,Safe D,1
Idaho,Butch Otter,R,No,Safe R,7
Illinois,Bruce Rauner,R,Yes,Toss-up,4
Iowa,Kim Reynolds,R,Yes,Leans R,5
Kansas,Sam Brownback,R,No,Leans R,5
Maine,Paul LePage,R,No,Toss-up,4
Maryland,Larry Hogan,R,Yes,Leans R,5
Massachusetts,Charlie Baker,R,Yes,Likely R,6
Michigan,Rick Snyder,R,No,Toss-up,4
Minnesota,Mark Dayton,D,No,Leans D,3
Nebraska,Pete Ricketts,R,Yes,Safe R,7
Nevada,Brian Sandoval,R,No,Toss-up,4
New Hampshire,New Hampshire,Chris Sununu,R,Yes,Leans R
New Mexico,Susana Martinez,R,No,Leans D (flip),3
New York,Andrew Cuomo,D,Yes,Safe D,1
Ohio,John Kasich,R,No,Leans R,5
Oklahoma,Mary Fallin,R,No,Likely R,6
Oregon,Kate Brown,D,Yes,Likely D,2
Pennsylvania,Tom Wolf,D,Yes,Leans D,3
Rhode Island,Gina Raimondo,D,Yes,Leans D,3
South Carolina,Henry McMaster,R,Yes,Safe R,7
South Dakota,Dennis Daugaard,R,No,Safe R,7
Tennessee,Bill Haslam,R,No,Likely R,6
Texas,Greg Abbott,R,Yes,Safe R,7
Vermont,Phil Scott,R,Yes,Likely R,6
Wisconsin,Scott Walker,R,Yes,Leans R,5
Wyoming,Matt Mead,R,No,Safe R,7
