AK,AL,Don Young,R,Yes,Safe R,7
AL,1,Bradley Byrne,R,Yes,Safe R,7
AL,2,Martha Roby,R,Yes,Safe R,7
AL,3,Mike D. Rogers,R,Yes,Safe R,7
AL,4,Rob Aderholt,R,Yes,Safe R,7
AL,5,Mo Brooks,R,Yes,Safe R,7
AL,6,Gary Palmer,R,Yes,Safe R,7
AL,7,Terri Sewell,D,Yes,Safe D,1
DE,AL,Lisa Blunt Rochester,D,Yes,Safe D,1
MT,AL,Greg Gianforte,R,Yes,Leans R,5
ND,AL,Kevin Cramer,R,No,Safe R,7
SD,AL,Kristi Noem,R,No,Safe R,7
VT,AL,Peter Welch,D,Yes,Safe D,1
WY,AL,Liz Cheney,R,Yes,Safe R,7
AZ,1,Tom O'Halleran,D,Yes,Leans D,3
AZ,2,Martha McSally,R,No,Leans D (flip),3
AZ,3,Raul Grijalva,D,Yes,Safe D,1
AZ,4,Paul Gosar,R,Yes,Safe R,7
AZ,5,Andy Biggs,R,Yes,Safe R,7
AZ,6,David Schweikert,R,Yes,Safe R,7
AZ,7,Ruben Gallego,D,Yes,Safe D,1
AZ,8,VACANT (Special 4/24/18),R,NA,Safe R,7
AZ,9,Kyrsten Sinema,D,No,Likely D,2
AR,1,Rick Crawford,R,Yes,Safe R,7
AR,2,French Hill,R,Yes,Likely R,6
AR,3,Steve Womack,R,Yes,Safe R,7
AR,4,Bruce Westerman,R,Yes,Safe R,7
CA,1,Doug LaMalfa,R,Yes,Safe R,7
CA,2,Jared Huffman,D,Yes,Safe D,1
CA,3,John Garamendi,D,Yes,Safe D,1
CA,4,Tom McClintock,R,Yes,Safe R,7
CA,5,Mike Thompson,D,Yes,Safe D,1
CA,6,Doris Matsui,D,Yes,Safe D,1
CA,7,Ami Bera,D,Yes,Leans D,3
CA,8,Paul Cook,R,Yes,Safe R,7
CA,9,Jerry McNerney,D,Yes,Safe D,1
CA,10,Jeff Denham,R,Yes,Toss-up,4
CA,11,Mark DeSaulnier,D,Yes,Safe D,1
CA,12,Nancy Pelosi,D,Yes,Safe D,1
CA,13,Barbara Lee,D,Yes,Safe D,1
CA,14,Jackie Speier,D,Yes,Safe D,1
CA,15,Eric Swalwell,D,Yes,Safe D,1
CA,16,Jim Costa,D,Yes,Safe D,1
CA,17,Ro Khanna,D,Yes,Safe D,1
CA,18,Anna Eshoo,D,Yes,Safe D,1
CA,19,Zoe Lofgren,D,Yes,Safe D,1
CA,20,Jimmy Panetta,D,Yes,Safe D,1
CA,21,David Valadao,R,Yes,Likely R,6
