AZ,Jeff Flake,R,No,Toss-up,4
CA,Dianne Feinstein,D,Yes,Safe D,1
CT,Chris Murphy,D,Yes,Safe D,1
DE,Tom Carper,D,Yes,Safe D,1
FL,Bill Nelson,D,Yes,Toss-up,4
HI,Mazie Hirono,D,Yes,Safe D,1
IN,Joe Donnelly,D,Yes,Toss-up,4
ME,Angus King,I,Yes,Likely D/I,2
MD,Ben Cardin,D,Yes,Safe D,1
MA,Elizabeth Warren,D,Yes,Safe D,1
MI,Debbie Stabenow,D,Yes,Likely D,2
MN,Amy Klobuchar,D,Yes,Safe D,1
MS,Roger Wicker,R,Yes,Safe R,7
MO,Claire McCaskill,D,Yes,Toss-up,4
MT,Jon Tester,D,Yes,Leans D,3
NE,Deb Fischer,R,Yes,Safe R,7
NV,Dean Heller,R,Yes,Toss-up,4
NJ,Bob Menendez,D,Yes,Likely D,2
NM,Martin Heinrich,D,Yes,Safe D,1
NY,Kirsten Gillibrand,D,Yes,Safe D,1
ND,Heidi Heitkamp,D,Yes,Toss-up,4
OH,Sherrod Brown,D,Yes,Leans D,3
PA,Bob Casey Jr.,D,Yes,Likely D,2
RI,Sheldon Whitehouse,D,Yes,Safe D,1
TN,Bob Corker,R,No,Likely R,6
TX,Ted Cruz,R,Yes,Likely R,6
UT,Orrin Hatch,R,No,Safe R,7
VT,Bernie Sanders,I,Yes,Safe D/I,1
VA,Tim Kaine,D,Yes,Safe D,1
WA,Maria Cantwell,D,Yes,Safe D,1
WV,Joe Manchin,D,Yes,Leans D,3
WI,Tammy Baldwin,D,Yes,Leans D,3
WY,John Barrasso,R,Yes,Safe R,7
MN-S,Tina Smith (Appt),D,Yes,Likely D,2
